mu_B,pressure,energy_density
995.70000,6.46438,166.07098
995.80000,6.48172,166.22500
995.90000,6.49907,166.37895
996.00000,6.51644,166.53287
996.10000,6.53382,166.68659
996.20000,6.55122,166.84011
996.30000,6.56863,166.99349
996.40000,6.58606,167.14677
996.50000,6.60350,167.29987
996.60000,6.62096,167.45283
996.70000,6.63844,167.60558
996.80000,6.65593,167.75813
996.90000,6.67343,167.91070
997.00000,6.69095,168.06314
997.10000,6.70849,168.21549
997.20000,6.72604,168.36765
997.30000,6.74360,168.51973
997.40000,6.76119,168.67166
997.50000,6.77878,168.82334
997.60000,6.79639,168.97481
997.70000,6.81402,169.12621
997.80000,6.83166,169.27748
997.90000,6.84932,169.42877
998.00000,6.86699,169.57984
998.10000,6.88468,169.73081
998.20000,6.90238,169.88157
998.30000,6.92010,170.03227
998.40000,6.93783,170.18287
998.50000,6.95558,170.33325
998.60000,6.97335,170.48344
998.70000,6.99112,170.63367
998.80000,7.00892,170.78369
998.90000,7.02672,170.93354
999.00000,7.04455,171.08329
999.10000,7.06239,171.23281
999.20000,7.08024,171.38225
999.30000,7.09811,171.53166
999.40000,7.11599,171.68096
999.50000,7.13389,171.83003
999.60000,7.15180,171.97892
999.70000,7.16973,172.12777
999.80000,7.18767,172.27635
999.90000,7.20563,172.42478
1000.00000,7.22360,172.57308
1000.10000,7.24159,172.72122
1000.20000,7.25959,172.86938
1000.30000,7.27761,173.01746
1000.40000,7.29564,173.16541
1000.50000,7.31368,173.31323
1000.60000,7.33175,173.46093
1000.70000,7.34982,173.60854
1000.80000,7.36791,173.75596
1000.90000,7.38602,173.90326
1001.00000,7.40414,174.05036
1001.10000,7.42227,174.19742
1001.20000,7.44042,174.34438
1001.30000,7.45859,174.49121
1001.40000,7.47676,174.63790
1001.50000,7.49496,174.78441
1001.60000,7.51317,174.93076
1001.70000,7.53139,175.07701
1001.80000,7.54963,175.22306
1001.90000,7.56788,175.36912
1002.00000,7.58614,175.51501
1002.10000,7.60442,175.66081
1002.20000,7.62272,175.80652
1002.30000,7.64103,175.95211
1002.40000,7.65935,176.09756
1002.50000,7.67769,176.24283
1002.60000,7.69605,176.38793
1002.70000,7.71442,176.53292
1002.80000,7.73280,176.67774
1002.90000,7.75119,176.82255
1003.00000,7.76961,176.96723
1003.10000,7.78803,177.11187
1003.20000,7.80647,177.25635
1003.30000,7.82493,177.40072
1003.40000,7.84339,177.54498
1003.50000,7.86188,177.68910
1003.60000,7.88038,177.83302
1003.70000,7.89889,177.97685
1003.80000,7.91741,178.12052
1003.90000,7.93595,178.26404
1004.00000,7.95451,178.40755
1004.10000,7.97308,178.55092
